COUNTRY_(ISO),CODE,YEAR,TFR ,EXPFA1,EXPFA2,FA1_V3,FA2_V3,FA3_V3,DI,TB12,EARN,FW,MW,FLFP,UNEMP,AGRIC,PPP1,PPP2,CPI,IMR,PREM
IT ,11,1980,1.68,0.71,0.96,19760.0,19760.0,19760.0,12.1,856740,8808084,4111.38,4953.47,39.6,7.7,14.3,826.00,0.39,24.44,14.6,78.3
IT ,11,1981,1.60,0.91,1.17,19760.0,19760.0,19760.0,10.2,928740,9276190,5092.15,6062.08,40.0,8.0,13.4,891.00,0.42,28.84,14.1,78.2
IT ,11,1982,1.60,0.80,1.02,19760.0,19760.0,19760.0,10.8,952740,11447520,5985.32,7041.56,39.8,8.7,12.4,984.00,0.47,33.59,13.0,79.2
IT ,11,1983,1.54,0.78,0.98,19760.0,19760.0,19760.0,8.2,788093,12027836,6953.58,8085.55,40.3,9.5,12.4,1084.00,0.52,38.51,12.3,79.8
IT ,11,1984,1.48,0.61,0.90,19760.0,19760.0,19760.0,8.3,893507,13516731,7508.60,9046.51,40.7,10.1,11.9,1156.00,0.55,42.67,11.4,81.0
IT ,11,1985,1.45,0.51,0.79,19760.0,19760.0,19760.0,12.2,1486584,16661123,8327.04,10032.58,41.0,10.4,11.2,1217.00,0.59,46.59,10.5,85.2
IT ,11,1986,1.37,0.43,0.68,19760.0,19760.0,19760.0,15.3,1983360,17659727,8726.74,10514.14,42.3,11.2,10.9,1281.00,0.62,49.31,10.2,87.2
IT ,11,1987,1.35,0.50,0.63,19760.0,19760.0,19760.0,9.5,1323360,19100000,9285.25,11187.05,43.4,12.1,10.5,1316.00,0.64,51.65,9.8,88.0
IT ,11,1988,1.38,0.54,0.64,19760.0,19760.0,19760.0,15.8,2334000,20350000,9857.00,11876.00,43.7,12.1,9.9,1353.00,0.66,54.26,9.3,89.0
IT ,11,1989,1.35,0.64,0.74,100000.0,100000.0,100000.0,14.8,2424000,22280000,10462.00,12606.00,44.3,12.1,9.3,1378.00,0.67,57.66,8.7,92.4
IT ,11,1990,1.36,0.38,0.60,100000.0,100000.0,100000.0,14.5,2520312,23700000,11214.00,13511.00,45.9,11.5,8.9,1421.00,0.70,61.38,8.2,93.4
IT ,11,1991,1.33,0.37,0.48,100000.0,100000.0,100000.0,13.1,2667000,27290000,12279.00,14795.00,46.2,11.0,8.5,1463.00,0.73,65.22,8.1,94.4
IT ,11,1992,1.32,0.35,0.48,110000.0,110000.0,110000.0,13.0,2731000,28302000,12975.00,15632.00,45.7,10.6,8.2,1459.00,0.74,68.65,7.9,95.6
IT ,11,1993,1.26,0.33,0.44,115000.0,115000.0,115000.0,13.4,2787000,28060000,13513.00,16281.00,42.5,10.2,7.3,1534.00,0.76,71.83,7.1,95.7
IT ,11,1994,1.22,,0.40,85000.0,85000.0,85000.0,12.5,2838000,30980000,13947.00,16804.00,42.4,11.2,7.1,1533.00,0.77,74.74,6.6,95.3
IT ,11,1995,1.19,,0.39,85000.0,85000.0,85000.0,10.9,2628800,33304850,14453.00,17414.00,42.8,11.7,6.7,1550.00,0.79,78.65,6.2,94.9
IT ,11,1996,1.22,,0.43,130000.0,130000.0,130000.0,14.3,3679300,35753220,14705.00,17717.00,43.5,11.7,6.4,1583.00,0.81,81.81,6.2,94.9
IT ,11,1997,1.23,,0.48,175000.0,175000.0,175000.0,16.9,4579300,38078450,15272.00,18401.00,44.1,11.8,6.2,1644.00,0.82,83.48,5.6,95.6
IT ,11,1998,1.21,,0.50,175000.0,175000.0,175000.0,18.9,5209552,38873410,15699.00,18914.00,45.1,11.9,5.9,1620.00,0.81,85.11,5.5,96.3
IT ,11,1999,1.23,,0.53,175000.0,175000.0,175000.0,19.3,5305552,38906050,16021.00,19303.00,46.0,11.5,5.5,1601.00,0.82,86.52,5.1,97.0
IT ,11,2000,1.26,,0.54,175000.0,175000.0,175000.0,19.1,5449552,39853080,8.72,10.63,46.8,10.7,5.4,,0.82,88.72,4.5,97.0
IT ,11,2001,1.25,,0.57,175000.0,175000.0,175000.0,20.7,6041607,40708526,8.85,10.80,47.8,9.6,5.3,,0.81,91.19,4.6,97.0
IT ,11,2002,1.27,,0.55,137.9,137.9,137.9,22.2,3426,21466,9.10,11.10,48.4,9.1,5.1,,0.85,93.44,4.3,99.0
IT ,11,2003,1.29,,0.59,137.9,137.9,137.9,17.8,2868,22114,9.34,11.39,48.8,8.8,4.9,,0.85,95.94,3.9,101.0
IT ,11,2004,1.33,,0.60,137.9,137.9,137.9,17.5,2868,22683,9.64,11.75,51.0,8.1,4.5,,0.87,98.05,3.9,103.0
IT ,11,2005,1.32,,0.58,137.9,137.9,137.9,18.7,3099,22759,9.90,12.07,50.7,7.8,4.2,,0.87,100.00,4.1,103.0
IT ,11,2006,1.35,,,137.9,137.9,137.9,18.3,3086,23299,10.23,12.47,51.2,6.9,4.3,,0.86,102.09,4.2,103.0
IT ,11,2007,1.34,,,137.9,137.9,137.9,22.4,3840,23990,10.52,12.83,51.0,6.2,4.0,,0.85,103.96,3.7,101.0
IT ,11,2008,1.30,,,161.8,161.8,161.8,19.6,3628,26191,10.87,13.26,52.1,6.8,3.7,,0.85,107.44,3.7,101.0
,,,,,,,,,,,,,,,,,,,,,
JP ,12,1960,2.00,0.00,,0.0,0.0,0.0,,,,69.13,140.77,59.7,1.7,30.2,,170.58,18.90,30.7,
JP ,12,1961,1.96,0.00,,0.0,0.0,0.0,,,,76.30,155.37,59.5,1.4,29.0,,182.09,19.92,28.6,
JP ,12,1962,1.98,0.00,,0.0,0.0,0.0,,,,85.01,173.12,58.3,1.3,27.8,,185.49,21.28,26.4,
JP ,12,1963,2.00,0.00,,0.0,0.0,0.0,,,,94.65,192.74,56.9,1.3,26.0,,192.89,22.71,23.2,
JP ,12,1964,2.05,0.00,,0.0,0.0,0.0,,,,104.05,211.88,56.0,1.1,24.7,,199.59,23.57,20.4,
JP ,12,1965,2.14,0.00,,0.0,0.0,0.0,,,,115.23,234.65,55.6,1.2,23.5,,204.14,25.14,18.5,
JP ,12,1966,1.58,0.00,,0.0,0.0,0.0,,,,129.09,262.88,56.0,1.3,22.2,,207.06,26.41,19.3,
JP ,12,1967,2.23,0.00,,0.0,0.0,0.0,,,,145.28,295.85,56.4,1.3,21.1,,212.34,27.46,14.9,
JP ,12,1968,2.13,0.00,,0.0,0.0,0.0,,,,168.10,342.32,56.0,1.2,19.8,,212.45,28.93,15.3,
JP ,12,1969,2.13,0.00,,0.0,0.0,0.0,,,,199.35,405.96,55.4,1.1,18.8,,210.96,30.44,14.2,
JP ,12,1970,2.13,0.00,,0.0,0.0,0.0,,,,227.71,463.70,55.4,1.1,17.4,246.00,211.97,32.53,13.1,32.5
JP ,12,1971,2.16,0.00,,0.0,0.0,3000.0,,,,263.16,520.47,54.2,1.2,15.9,245.00,212.17,34.57,12.4,34.1
JP ,12,1972,2.14,0.01,,0.0,0.0,3000.0,6.2,86990,1636710,307.56,599.38,52.7,1.4,14.7,247.00,214.97,36.29,11.7,35.7
JP ,12,1973,2.14,0.05,,0.0,0.0,3000.0,6.2,108767,2038200,386.32,747.99,54.0,1.3,13.4,262.00,229.48,40.50,11.3,37.2
JP ,12,1974,2.05,0.07,,0.0,0.0,4000.0,6.0,126122,2426200,504.08,990.69,52.4,1.4,12.9,292.00,254.28,49.89,10.8,38.8
JP ,12,1975,1.91,0.08,,0.0,0.0,4000.0,5.9,137370,2699100,573.46,1135.92,51.6,1.9,12.7,286.00,249.00,55.75,10.0,40.4
JP ,12,1976,1.85,0.10,,0.0,0.0,5000.0,6.2,157492,2941700,614.53,1229.41,51.8,2.0,12.2,290.00,254.31,61.00,9.3,40.6
JP ,12,1977,1.80,0.10,,0.0,0.0,5000.0,6.2,167768,3224319,662.67,1335.52,53.0,2.0,11.9,290.00,255.28,65.96,8.9,40.7
JP ,12,1978,1.79,0.09,,0.0,0.0,5000.0,6.2,178043,3385400,702.77,1412.59,54.1,2.2,11.7,282.00,249.50,68.72,8.4,40.9
JP ,12,1979,1.77,0.09,,0.0,0.0,5000.0,6.4,193328,3575400,731.92,1497.80,54.6,2.1,11.2,266.00,236.71,71.28,7.9,41.0
JP ,12,1980,1.75,0.09,0.23,0.0,0.0,5000.0,6.1,199567,3845600,775.21,1609.87,54.8,2.0,10.4,256.00,228.80,76.85,7.5,41.2
JP ,12,1981,1.74,0.08,0.24,0.0,0.0,5000.0,6.0,206023,4104000,821.58,1721.51,55.1,2.2,10.0,241.00,218.43,80.62,7.1,40.6
JP ,12,1982,1.77,0.06,0.25,0.0,0.0,5000.0,6.0,211979,4258600,851.69,1797.79,55.7,2.4,9.7,232.00,210.29,82.83,6.6,41.4
JP ,12,1983,1.80,0.06,0.25,0.0,0.0,5000.0,6.6,163057,2867400,878.26,1855.14,57.0,2.6,9.3,226.00,207.07,84.39,6.2,43.3
JP ,12,1984,1.81,0.06,0.24,0.0,0.0,5000.0,7.2,181737,2990400,907.13,1961.87,57.0,2.7,8.9,221.00,205.95,86.29,6.0,44.7
JP ,12,1985,1.76,0.05,0.24,0.0,0.0,5000.0,7.1,185512,3098400,928.91,1975.16,57.1,2.6,8.8,218.00,204.44,88.06,5.5,45.5
JP ,12,1986,1.72,0.05,0.23,0.0,0.0,5000.0,7.1,188711,3158700,952.82,2031.88,57.3,2.8,8.5,217.00,203.32,88.60,5.2,45.9
JP ,12,1987,1.69,0.04,0.22,0.0,2500.0,5000.0,6.9,187672,3216700,977.60,2064.67,57.6,2.8,8.3,210.00,198.42,88.71,5.0,46.8
JP ,12,1988,1.66,0.04,0.20,0.0,2500.0,5000.0,6.9,192545,3305500,984.49,2093.96,58.2,2.5,7.9,204.00,193.30,89.29,4.8,47.8
JP ,12,1989,1.57,0.03,0.18,0.0,2500.0,5000.0,7.2,210901,3467800,1053.97,2227.09,59.2,2.3,7.6,199.00,190.53,91.33,4.6,48.2
JP ,12,1990,1.54,0.04,0.17,0.0,2500.0,5000.0,7.3,226825,3685200,1121.21,2368.15,60.3,2.1,7.2,195.00,187.85,94.13,4.6,48.1
JP ,12,1991,1.53,0.03,0.16,5000.0,50000.0,10000.0,7.2,236260,3879200,1224.29,2492.17,61.4,2.1,6.7,193.00,186.84,97.20,4.4,48.4
JP ,12,1992,1.50,0.03,0.19,5000.0,50000.0,10000.0,6.7,223341,3933845,1283.87,2602.49,61.9,2.2,6.4,188.00,185.61,98.87,4.5,49.0
JP ,12,1993,1.46,0.05,0.19,5000.0,50000.0,10000.0,6.7,225335,3980935,1223.83,2239.12,61.8,2.5,5.9,184.00,182.40,100.13,4.3,49.4
JP ,12,1994,1.50,0.33,0.20,5000.0,50000.0,10000.0,6.7,230110,4064645,1163.79,1875.74,62.1,2.9,5.8,181.00,178.80,100.82,4.2,49.3
JP ,12,1995,1.42,0.33,0.21,5000.0,50000.0,10000.0,5.6,183770,3811570,1183.11,1868.47,62.1,3.2,5.7,170.00,174.34,100.69,4.3,49.1
JP ,12,1996,1.43,0.34,0.21,5000.0,50000.0,10000.0,5.4,195841,4175381,1198.68,1884.13,62.6,3.4,5.5,166.00,170.12,100.82,3.8,49.6
JP ,12,1997,1.39,0.38,0.21,5000.0,50000.0,10000.0,6.4,233991,4273736,1219.97,1892.66,63.7,3.4,5.3,165.00,168.32,102.61,3.7,60.7
JP ,12,1998,1.38,,0.22,5000.0,50000.0,10000.0,7.1,255427,4203478,1260.15,1945.22,63.9,4.1,5.3,164.00,166.52,103.29,3.6,71.8
JP ,12,1999,1.34,,0.22,5000.0,50000.0,10000.0,5.6,197192,4217380,1279.04,1949.05,63.8,4.7,5.2,159.00,162.04,102.95,3.4,83.0
JP ,12,2000,1.36,,0.25,5000.0,50000.0,10000.0,5.1,183573,4297412,1293.64,1952.88,64.0,4.7,5.1,,154.94,102.22,3.2,84.0
JP ,12,2001,1.33,,0.29,5000.0,50000.0,10000.0,5.1,182931,4275841,1308.24,1956.71,64.4,5.0,4.9,,149.44,101.44,3.1,85.0
JP ,12,2002,1.32,,0.30,5000.0,50000.0,10000.0,5.1,182289,4254270,1322.83,1861.41,64.0,5.4,4.7,,143.77,100.53,3.0,85.0
JP ,12,2003,1.29,,0.31,5000.0,50000.0,10000.0,5.1,177843,4200199,1337.43,1766.16,64.2,5.3,4.6,,139.68,100.28,3.0,87.0
JP ,12,2004,1.29,,0.35,5000.0,50000.0,10000.0,3.8,133575,4205596,1315.04,1729.66,64.6,4.7,4.5,,134.32,100.28,2.8,87.0
JP ,12,2005,1.26,,0.35,5000.0,50000.0,10000.0,3.8,154796,4953747,1300.41,1737.12,65.5,4.4,4.4,,129.55,100.00,2.8,88.0
JP ,12,2006,1.32,,,5000.0,50000.0,10000.0,4.2,171098,5035230,1318.43,1778.91,66.2,4.1,4.3,,124.33,100.24,2.6,88.0
JP ,12,2007,1.34,,,5000.0,50000.0,10000.0,7.8,310420,5013890,1357.83,1793.12,66.9,3.9,4.2,,120.14,100.30,2.6,88.0
JP ,12,2008,1.22,,,5000.0,50000.0,10000.0,7.7,310391,5026113,1371.19,1784.29,67.5,4.0,4.2,,116.53,101.68,2.8,88.0
,,,,,,,,,,,,,,,,,,,,,
LU ,13,1960,2.28,1.89,,462.0,462.0,462.0,,,,30.06,50.10,31.0,0.1,16.6,,0.92,19.05,31.6,
LU ,13,1961,2.33,1.89,,481.0,481.0,481.0,,,,31.49,52.49,31.0,0.1,15.8,,0.88,19.14,26.3,
LU ,13,1962,2.35,1.91,,487.3,487.3,487.3,,,,31.66,52.77,31.0,0.1,14.9,,0.89,19.32,31.4,
LU ,13,1963,2.33,1.90,,496.7,496.7,496.7,,,,33.60,56.00,31.0,0.1,14.2,,0.90,19.87,28.6,
LU ,13,1964,2.38,1.95,,500.0,500.0,500.0,,,,36.05,60.08,31.0,0.1,13.2,,0.94,20.49,30.0,
LU ,13,1965,2.42,2.06,,515.0,515.0,515.0,,,,40.13,66.88,31.0,0.1,12.3,,0.94,21.17,24.0,
LU ,13,1966,2.37,2.07,,530.0,530.0,530.0,,,,43.07,71.78,31.2,0.1,11.5,,0.94,21.88,26.7,
LU ,13,1967,2.25,2.15,,545.0,599.2,653.3,,,,43.52,72.53,31.9,0.1,11.0,,0.92,22.35,20.2,
LU ,13,1968,2.13,2.17,,568.7,604.8,805.9,,,,47.22,78.70,32.6,0.1,10.3,,0.92,22.94,17.0,
LU ,13,1969,2.02,1.94,,592.3,610.4,958.4,,,,50.30,83.83,33.2,0.1,9.4,,0.92,23.46,17.6,
LU ,13,1970,1.98,1.77,,616.0,616.0,1111.0,,,,50.27,90.78,33.8,0.1,9.4,44.90,0.95,24.55,25.0,76.7
LU ,13,1971,1.96,1.90,,645.0,645.0,1447.0,,,,56.25,97.74,34.6,0.1,9.0,42.20,0.90,25.70,22.7,78.3
LU ,13,1972,1.75,1.86,,681.0,681.0,1529.0,22.7,38152,224000,65.13,111.66,35.2,0.1,8.4,42.60,0.92,27.04,13.9,79.9
LU ,13,1973,1.58,1.78,,726.0,726.0,1962.0,23.1,42669,249000,69.02,124.84,35.9,0.1,7.9,45.00,0.97,28.68,15.3,81.4
LU ,13,1974,1.58,1.66,,788.0,788.0,2131.0,22.4,49535,302000,89.67,156.78,37.3,0.1,7.2,48.50,1.04,31.42,13.6,83.0
LU ,13,1975,1.55,1.84,,873.0,873.0,2361.0,26.4,64906,340000,103.06,169.25,38.3,0.2,6.8,44.00,0.95,34.79,14.8,84.6
LU ,13,1976,1.48,1.85,,1038.0,1038.0,2673.0,27.7,74156,375000,125.33,195.50,39.3,0.3,6.7,46.30,1.00,38.19,17.9,86.4
LU ,13,1977,1.49,2.01,,1113.0,1113.0,2866.0,28.0,80440,407680,131.88,211.13,39.3,0.5,6.4,43.90,0.95,40.75,10.5,88.2
LU ,13,1978,1.47,1.85,,1157.0,1157.0,2981.0,28.2,86724,426800,135.63,224.52,39.7,0.8,6.2,42.90,0.94,42.02,10.5,90.0
LU ,13,1979,1.47,1.78,,1203.0,1453.0,3099.0,29.8,98331,480500,137.61,234.60,39.8,0.7,5.8,41.90,0.92,43.93,12.9,91.8
LU ,13,1980,1.50,1.91,1.55,1277.0,1862.0,3741.0,30.4,108024,495500,153.97,251.70,39.9,0.7,5.4,41.30,0.91,46.69,11.4,93.6
LU ,13,1981,1.55,1.99,1.60,1363.0,2045.0,4091.0,30.1,115104,547100,159.50,265.50,41.9,1.0,5.1,40.10,0.89,50.46,13.9,96.4
LU ,13,1982,1.49,1.95,1.51,1463.0,2195.0,4938.0,31.1,124262,558200,172.80,287.40,41.2,1.3,4.9,41.90,0.93,55.18,12.1,96.0
LU ,13,1983,1.44,1.85,1.49,1572.0,2358.0,5503.0,33.5,145245,615400,191.70,311.80,41.7,1.6,4.7,42.80,0.96,59.97,11.2,96.5
LU ,13,1984,1.42,1.76,1.40,1661.0,2492.0,5816.0,33.4,154923,656600,197.70,321.90,42.5,1.7,4.7,42.70,0.96,63.83,11.7,96.3
LU ,13,1985,1.38,1.63,1.34,1706.0,2560.0,5974.0,32.9,158329,676300,207.30,331.10,43.2,1.6,4.4,42.50,0.96,66.44,9.0,96.0
LU ,13,1986,1.44,1.76,1.40,1740.0,3403.0,6319.0,34.1,168414,692000,209.10,344.30,44.2,1.4,4.2,42.60,0.94,66.64,7.9,98.2
LU ,13,1987,1.39,1.75,1.39,1757.0,3600.0,6430.0,31.6,165026,707000,217.60,352.40,45.7,1.6,3.9,41.60,0.92,66.60,9.4,93.5
LU ,13,1988,1.51,1.67,1.31,1761.0,3608.0,6443.0,30.9,170218,747000,218.00,375.00,47.1,1.4,3.7,40.40,0.91,67.56,8.7,91.2
LU ,13,1989,1.52,1.94,1.49,1816.0,3721.0,6645.0,33.3,194227,787000,234.00,393.00,48.8,1.3,3.4,40.00,0.91,69.83,9.9,90.1
LU ,13,1990,1.62,2.05,1.66,1877.0,3846.0,6867.0,34.1,207360,824000,248.00,399.00,50.3,1.1,3.3,39.70,0.90,72.11,7.3,91.7
LU ,13,1991,1.60,2.11,1.66,2376.0,3894.0,6740.0,29.7,197070,875000,265.00,420.00,51.6,1.2,2.9,39.50,0.89,74.35,9.2,94.6
LU ,13,1992,1.67,2.15,1.71,3529.0,4672.0,7953.0,30.0,207367,916000,278.00,446.00,53.6,1.3,3.0,38.90,0.90,76.70,8.5,95.1
LU ,13,1993,1.69,2.81,2.04,4662.0,5834.0,9198.0,34.5,246305,955000,300.00,466.00,54.7,1.7,2.9,39.60,0.93,79.45,6.0,98.7
LU ,13,1994,1.72,,2.17,4897.0,6128.0,9662.0,34.6,256574,994200,314.00,486.00,57.2,2.1,2.8,40.00,0.94,81.19,5.3,106.9
LU ,13,1995,1.67,,2.20,4777.0,5980.0,9426.0,32.9,245654,1005332,316.00,495.00,58.3,2.3,2.1,38.90,0.95,82.71,5.5,99.5
LU ,13,1996,1.76,,2.20,4899.0,6131.0,9665.0,33.1,256239,1045350,319.00,476.00,60.2,2.5,2.0,39.70,0.95,83.69,4.9,97.7
LU ,13,1997,1.71,,2.23,5020.0,6281.0,9903.0,34.2,271592,1078800,335.00,485.00,62.2,2.7,2.0,41.20,0.96,84.83,4.2,89.5
LU ,13,1998,1.67,,2.45,6018.0,7280.0,10906.0,32.9,274320,1105800,337.00,490.00,62.7,2.3,1.9,41.60,0.95,85.65,5.0,81.3
LU ,13,1999,1.71,,2.55,7017.0,8279.0,11905.0,36.5,307644,1134550,8.70,12.74,66.2,2.1,1.8,40.60,0.94,86.53,4.7,73.0
LU ,13,2000,1.78,,2.65,7151.0,8471.0,12188.0,37.4,323700,1179930,9.35,13.06,69.4,1.9,1.5,,0.94,89.25,5.1,79.0
LU ,13,2001,1.66,,2.74,7372.0,8697.0,12507.0,35.2,324178,1222555,9.47,13.11,77.4,1.7,1.4,,0.95,91.63,5.9,80.0
LU ,13,2002,1.63,,2.98,212.1,245.8,342.6,32.9,8048,31363,9.80,13.61,79.4,2.0,1.4,,0.93,93.53,5.1,83.0
LU ,13,2003,1.62,,3.30,217.4,251.9,351.2,32.4,8080,32198,10.22,14.02,82.3,2.5,1.3,,0.94,95.45,4.9,85.0
LU ,13,2004,1.66,,3.24,228.9,253.2,360.0,33.1,8341,32586,10.58,14.71,85.1,2.8,1.3,,0.92,97.57,3.9,83.0
LU ,13,2005,1.62,,3.08,228.4,264.7,369.0,35.6,10612,40500,11.07,15.19,87.8,3.1,1.3,,0.95,100.00,2.6,85.0
LU ,13,2006,1.64,,,234.1,271.3,379.2,37.0,11601,43477,10.96,15.18,92.3,3.1,1.4,,0.95,102.67,2.5,87.0
LU ,13,2007,1.78,,,234.1,271.3,379.2,37.2,11945,45350,11.12,15.31,96.2,3.0,1.4,,0.95,105.04,1.8,86.0
LU ,13,2008,1.78,,,234.1,271.3,379.2,35.9,12170,46524,11.35,15.57,96.5,4.9,1.4,,0.97,108.61,1.8,85.0
,,,,,,,,,,,,,,,,,,,,,
NL ,14,1960,3.12,1.34,,17.4,19.5,19.5,,,,1.26,2.06,25.5,0.7,9.8,,0.87,17.93,17.9,
NL ,14,1961,3.22,1.34,,22.5,25.5,28.5,,,,1.42,2.33,25.8,0.5,9.4,,0.91,18.38,17.0,
NL ,14,1962,3.18,1.32,,21.5,24.4,27.2,,,,1.59,2.54,26.0,0.5,8.9,,0.90,18.82,17.0,
NL ,14,1963,3.19,1.83,,20.5,23.2,25.9,,,,1.76,2.71,26.3,0.6,8.5,,0.92,19.43,15.8,
NL ,14,1964,3.17,1.93,,19.5,22.1,24.7,,,,2.05,3.13,26.5,0.5,8.1,,0.99,20.57,14.8,
NL ,14,1965,3.04,1.93,,23.1,26.1,29.1,,,,2.28,3.41,26.8,0.6,7.6,,1.02,21.37,14.4,
NL ,14,1966,2.90,2.10,,26.6,30.1,33.5,,,,2.60,3.74,27.0,0.8,7.3,,1.04,22.60,14.7,
NL ,14,1967,2.81,2.13,,30.2,34.1,37.9,,,,2.82,4.03,27.3,1.6,7.1,,1.06,23.38,13.4,
NL ,14,1968,2.72,2.03,,33.8,39.1,42.4,,,,3.13,4.36,27.5,1.5,6.8,,1.05,24.25,13.6,
NL ,14,1969,2.75,2.00,,37.4,42.1,46.8,,,,3.43,4.81,27.8,1.0,6.4,,1.06,26.05,13.2,
NL ,14,1970,2.57,1.98,,41.9,47.6,47.6,,,,4.28,6.32,28.0,1.0,6.2,2.75,1.10,27.01,12.7,
NL ,14,1971,2.36,2.00,,45.2,51.2,51.2,,,,4.96,7.24,28.3,1.3,6.0,2.82,1.14,29.03,12.1,
NL ,14,1972,2.15,1.99,,51.7,58.2,58.2,15.1,1908,18632,5.50,8.03,28.8,2.3,5.9,2.94,1.20,31.29,11.7,
NL ,14,1973,1.90,1.94,,54.9,65.3,65.3,15.9,2109,20049,6.49,8.94,29.2,2.3,5.8,3.02,1.24,33.80,11.5,
NL ,14,1974,1.77,1.93,,54.9,73.1,73.1,16.4,2429,22856,7.74,10.49,29.7,2.8,5.7,3.03,1.24,37.05,11.3,
NL ,14,1975,1.66,1.89,,54.9,85.0,85.0,15.8,2619,25348,8.94,11.96,31.0,5.3,5.7,3.06,1.25,40.83,10.6,
NL ,14,1976,1.63,1.81,,54.9,96.2,96.2,15.7,2844,28010,9.66,12.89,31.3,5.6,5.6,3.13,1.29,44.44,10.7,
NL ,14,1977,1.58,1.74,,54.9,102.4,102.4,15.8,3032,28693,10.77,14.27,31.9,5.5,5.3,3.12,1.29,47.28,9.5,
NL ,14,1978,1.58,1.72,,54.9,111.5,111.5,15.8,3220,31400,11.46,15.14,32.7,5.4,5.4,3.06,1.27,49.22,9.6,
NL ,14,1979,1.56,1.77,,54.9,117.0,117.0,15.5,3365,31506,12.05,16.15,33.4,5.5,5.3,2.92,1.22,51.29,8.7,
NL ,14,1980,1.60,2.09,1.99,86.3,140.0,141.0,14.9,3470,35900,12.67,16.82,35.5,6.2,4.9,2.82,1.18,54.63,8.6,107.3
NL ,14,1981,1.56,1.99,1.91,91.3,145.3,145.3,15.5,3658,34235,13.30,17.83,37.9,8.6,4.9,2.69,1.13,58.31,8.3,108.4
NL ,14,1982,1.50,1.98,1.90,94.7,153.7,153.3,16.1,3886,38870,14.15,19.10,39.0,11.6,5.0,2.67,1.12,61.76,8.3,111.7
NL ,14,1983,1.47,1.94,1.86,97.8,128.2,137.3,17.6,3956,37722,14.44,19.46,40.3,12.0,5.0,2.61,1.10,63.45,8.4,114.1
NL ,14,1984,1.49,2.15,1.79,96.8,126.9,135.9,17.1,3975,38083,14.64,19.76,40.7,12.2,5.0,2.53,1.07,65.55,8.3,117.1
NL ,14,1985,1.51,2.03,1.73,97.5,127.8,136.9,17.4,4208,38879,14.95,20.12,40.9,11.1,4.9,2.49,1.06,67.03,8.0,106.2
NL ,14,1986,1.55,1.88,1.60,97.5,128.1,137.1,17.0,4246,39684,15.35,20.53,41.3,10.5,4.8,2.43,1.03,67.09,7.7,103.5
NL ,14,1987,1.56,2.46,1.25,96.5,126.6,135.6,16.7,4215,40400,15.58,20.99,48.8,9.7,4.9,2.34,0.99,66.62,7.6,98.8
NL ,14,1988,1.55,2.44,1.25,101.3,132.8,142.2,17.0,4364,41000,16.07,21.49,50.5,9.3,4.8,2.28,0.97,67.11,6.8,98.1
NL ,14,1989,1.55,2.17,1.22,102.2,134.0,143.5,15.7,4251,42000,16.49,21.94,51.0,8.4,4.7,2.21,0.94,67.84,6.8,98.3
NL ,14,1990,1.62,1.50,1.17,111.4,140.4,148.9,16.5,4762,48116,17.14,22.75,53.0,7.6,4.6,2.17,0.92,69.50,7.1,99.2
NL ,14,1991,1.61,1.51,1.15,171.0,171.0,171.0,16.9,5111,49960,17.75,23.52,54.5,7.1,4.5,2.18,0.92,71.70,6.5,99.2
NL ,14,1992,1.59,1.52,1.16,176.0,176.0,176.0,17.8,5490,52527,18.29,23.89,55.5,6.8,3.9,2.14,0.92,73.98,6.3,97.7
NL ,14,1993,1.59,1.51,1.14,181.0,181.0,181.0,18.3,5773,54258,18.98,24.54,55.9,6.2,3.9,2.13,0.91,75.89,6.3,97.4
NL ,14,1994,1.57,,1.02,135.6,158.0,165.5,18.0,5866,55545,22.17,29.06,56.9,6.9,4.0,2.12,0.91,78.02,5.6,99.3
NL ,14,1995,1.53,,0.97,155.0,155.0,155.0,18.1,5895,54903,22.60,30.12,59.0,7.1,3.7,2.03,0.91,79.52,5.5,100.7
NL ,14,1996,1.53,,0.91,159.0,159.0,159.0,18.3,6270,56444,24.02,31.39,60.0,6.5,3.9,2.04,0.91,81.12,5.7,99.9
NL ,14,1997,1.56,,0.83,162.0,162.0,162.0,18.8,6800,59719,24.84,32.31,61.8,5.5,3.7,2.03,0.91,82.87,5.0,99.3
NL ,14,1998,1.63,,0.79,161.3,161.3,161.3,18.3,6910,57522,25.65,33.36,62.7,4.3,3.3,2.00,0.91,84.52,5.2,98.7
NL ,14,1999,1.65,,0.73,160.6,160.6,160.6,18.3,7041,59481,26.90,34.69,64.4,3.5,3.1,1.99,0.91,86.39,5.2,98.0
NL ,14,2000,1.72,,0.73,166.7,141.7,141.7,17.5,6967,62289,27.96,35.85,65.5,2.7,3.0,,0.89,88.44,5.1,98.0
NL ,14,2001,1.71,,0.70,171.5,145.8,145.8,16.8,7380,65213,13.53,17.20,66.9,2.1,2.9,,0.91,92.11,5.4,96.0
NL ,14,2002,1.73,,0.76,80.4,68.4,68.4,16.0,3536,30919,14.14,17.81,67.9,2.6,2.6,,0.90,95.14,5.0,97.0
NL ,14,2003,1.75,,0.76,82.0,70.6,70.6,16.2,3404,31790,14.73,18.45,68.7,3.6,2.9,,0.93,97.16,4.8,87.0
NL ,14,2004,1.73,,0.74,84.1,71.5,71.5,16.4,3486,32457,15.36,18.87,69.4,4.6,3.1,,0.91,98.36,4.4,88.0
